0.0030, 0.3600, 0.3900
0.0030, 0.3150, 0.3000
0.0030, 0.3150, 0.3300
0.0030, 0.3300, 0.3750
0.0030, 0.3150, 0.3150
0.0030, 0.3150, 0.3600
0.0030, 0.3300, 0.2700
0.0030, 0.3450, 0.3900
0.0030, 0.3150, 0.3450
0.0030, 0.3900, 0.4050
0.0030, 0.3150, 0.2850
0.0030, 0.3750, 0.4050
0.0030, 0.3000, 0.3150
0.0030, 0.3000, 0.3450
0.0030, 0.3150, 0.3750
0.0030, 0.3300, 0.3900
0.0030, 0.3450, 0.2550
0.0030, 0.3600, 0.4050
0.0030, 0.3000, 0.3000
0.0030, 0.3000, 0.3600
0.0030, 0.3450, 0.4050
0.0030, 0.3000, 0.3300
0.0030, 0.3000, 0.3750
0.0030, 0.3150, 0.3900
0.0030, 0.2850, 0.3150
0.0030, 0.2850, 0.3450
0.0030, 0.3000, 0.2850
0.0030, 0.3150, 0.2700
0.0030, 0.3300, 0.4050
0.0030, 0.2850, 0.3300
0.0030, 0.2850, 0.3000
0.0030, 0.2850, 0.3750
0.0030, 0.3000, 0.3900
0.0030, 0.3150, 0.4050
0.0030, 0.2850, 0.3600
0.0030, 0.2700, 0.3300
0.0030, 0.2700, 0.3150
0.0030, 0.2700, 0.3600
0.0030, 0.2850, 0.3900
0.0030, 0.3000, 0.4050
0.0030, 0.3300, 0.4200
0.0030, 0.3450, 0.4200
0.0030, 0.3600, 0.4200
0.0030, 0.2700, 0.3450
0.0030, 0.2700, 0.3750
0.0030, 0.2850, 0.2850
0.0030, 0.3150, 0.4200
0.0030, 0.2700, 0.3000
0.0030, 0.2850, 0.4050
0.0030, 0.2550, 0.3300
0.0030, 0.2550, 0.3600
0.0030, 0.2700, 0.3900
0.0030, 0.3000, 0.4200
0.0030, 0.2550, 0.3450
0.0030, 0.2550, 0.3150
0.0030, 0.2550, 0.3900
0.0030, 0.2700, 0.4050
0.0030, 0.2850, 0.4200
0.0030, 0.2550, 0.3750
0.0030, 0.2400, 0.3450
0.0030, 0.2400, 0.3300
0.0030, 0.2400, 0.3750
0.0030, 0.2550, 0.4050
0.0030, 0.2700, 0.4200
0.0030, 0.3000, 0.4350
0.0030, 0.3150, 0.4350
0.0030, 0.3300, 0.4350
0.0030, 0.2400, 0.3600
0.0030, 0.2850, 0.4350
0.0030, 0.2400, 0.3900
0.0030, 0.2400, 0.4050
0.0030, 0.2550, 0.4200
0.0030, 0.2700, 0.4350
0.0030, 0.2250, 0.3600
0.0030, 0.2250, 0.3450
0.0030, 0.2250, 0.3900
0.0030, 0.2400, 0.3150
0.0030, 0.2250, 0.3750
0.0030, 0.2400, 0.4200
0.0030, 0.2550, 0.4350
0.0030, 0.2250, 0.4050
0.0030, 0.2250, 0.3300
0.0030, 0.2400, 0.4350
0.0030, 0.2700, 0.4500
0.0030, 0.2850, 0.4500
0.0030, 0.3000, 0.4500
0.0030, 0.2100, 0.3600
0.0030, 0.2100, 0.3900
0.0030, 0.2250, 0.4200
0.0030, 0.3150, 0.4500
0.0030, 0.2100, 0.3750
0.0030, 0.2550, 0.4500
0.0030, 0.2100, 0.3450
0.0030, 0.2250, 0.4350
0.0030, 0.2100, 0.4050
0.0030, 0.2400, 0.4500
0.0030, 0.2100, 0.4200
0.0030, 0.1950, 0.3900
0.0030, 0.1950, 0.3750
0.0030, 0.2100, 0.4350
0.0030, 0.2250, 0.4500
0.0030, 0.2550, 0.4650
0.0030, 0.2700, 0.4650
0.0030, 0.2850, 0.4650
0.0030, 0.1950, 0.3600
0.0030, 0.1950, 0.4200
0.0030, 0.1950, 0.4050
0.0030, 0.2100, 0.4500
0.0030, 0.2400, 0.4650
0.0030, 0.1950, 0.4350
0.0030, 0.2250, 0.4650
0.0030, 0.3000, 0.4650
0.0030, 0.1800, 0.3900
0.0030, 0.1800, 0.4200
0.0030, 0.1950, 0.4500
0.0030, 0.1800, 0.3750
0.0030, 0.2100, 0.4650
0.0030, 0.2400, 0.4800
0.0030, 0.2550, 0.4800
0.0030, 0.2700, 0.4800
0.0030, 0.1800, 0.4050
0.0030, 0.2250, 0.4800
0.0030, 0.1800, 0.4350
0.0030, 0.1800, 0.4500
0.0030, 0.1950, 0.4650
0.0030, 0.2100, 0.4800
0.0030, 0.2850, 0.4800
0.0030, 0.1650, 0.4050
0.0030, 0.1650, 0.4350
0.0030, 0.1800, 0.4650
0.0030, 0.1950, 0.4800
0.0030, 0.1650, 0.3900
0.0030, 0.2250, 0.4950
0.0030, 0.2400, 0.4950
0.0030, 0.2550, 0.4950
0.0030, 0.1650, 0.4200
0.0030, 0.2100, 0.4950
0.0030, 0.1650, 0.4500
0.0030, 0.1650, 0.4650
0.0030, 0.1800, 0.4800
0.0030, 0.1950, 0.4950
0.0030, 0.2700, 0.4950
0.0030, 0.1500, 0.4200
0.0030, 0.1500, 0.4350
0.0030, 0.1650, 0.4800
0.0030, 0.1800, 0.4950
0.0030, 0.1500, 0.4050
0.0030, 0.1500, 0.4650
0.0030, 0.1500, 0.4500
0.0030, 0.1650, 0.4950
0.0030, 0.1500, 0.4800
0.0030, 0.1350, 0.4350
0.0030, 0.1350, 0.4650
0.0030, 0.1500, 0.4950
0.0030, 0.1350, 0.4500
0.0030, 0.1350, 0.4800
0.0030, 0.1350, 0.4200
0.0030, 0.1350, 0.4950
0.0030, 0.1200, 0.4500
0.0030, 0.1200, 0.4800
0.0030, 0.1200, 0.4650
0.0030, 0.1200, 0.4950
0.0030, 0.1050, 0.4950
0.0030, 0.1050, 0.4800
